STATION,DATE,MAX
72530094846,2015-03-13,64.9
72530094846,2015-03-14,64.9
72530094846,2015-03-15,62.1
72530094846,2015-03-16,73.0
72530094846,2015-03-17,73.0
72530094846,2015-03-18,50.0
72530094846,2015-03-19,50.0
72530094846,2015-03-20,50.0
72530094846,2015-03-21,50.0
72530094846,2015-03-22,48.9
72530094846,2015-03-23,35.1
72530094846,2015-03-24,35.1
72530094846,2015-03-25,41.0
72530094846,2015-03-26,42.1
72530094846,2015-03-27,42.1
72530094846,2015-03-28,36.0
72530094846,2015-03-29,46.9
72530094846,2015-03-30,61.0
72530094846,2015-03-31,61.0
72530094846,2015-04-01,72.0
72530094846,2015-04-02,72.0
